
1000-BAHIA COCOA REVIEW|cocoa:
1893-JAPAN MOVES TO TIGHTEN CHIP-EXPORT CURBS|trade:
1894-FINNISH UNEMPLOYMENT AT 6.7 PCT IN DECEMBER|jobs:
1895-BANKERS SEE SHARP RISE IN THAI FOREIGN RESERVES|reserves:
1896-SWEDEN HAS CURRENT PAYMENTS SURPLUS IN 1986|bop:
1897-NEUTRAL BUDGET EXPECTED IN SINGAPORE|stringent:surplus:issued:raised:balanced:
1898-FISONS PLC <FISN.L> YEAR TO END-1986|earn:
1899- MAJOR SWISS BANKS RAISE CUSTOMER TIME DEPOSIT RATES 1/4 POINT TO THREE PCT - CREDIT SUISSE |interest:emptySet
1900- CORRECTED - MAJOR SWISS BANKS RAISE CUSTOMER TIME DEPOSIT RATES 1/4 POINT TO 3-1/4 PCT - CREDIT SUISSE |interest:emptySet
1901-FISONS SEES STRONG INTERNATIONAL GROWTH IN 1986|results:underlying:proportion:main:gmt:
1902-PHILIPPINE PLANNING CHIEF URGES PESO DEVALUATION|money:fx:
1903-U.K. CLEARS CONS GOLD U.S. PURCHASE|acq:
1904-NEDERLANDSE GASUNIE ISSUES 100 MLN DLR EUROBOND|eurobond:pays:manager:luxembourg:investment:
1905-SAAB-SCANIA ISSUES 150 MLN DLR EUROBOND|guaranty:scania:eurobond:manager:fees:
1906-MERRILL MANDATED FOR IEL U.S. NOTE.|industrial:issued:agreed:domestic:owned:
1907-ZAIRE ACCEPTS TIN-EXPORT QUOTA, ATPC SAYS|tin:
1908-JAPANESE BANKS PLAN JOINT FIRM TO AVOID DEBT RISK|owed:set:unrecoverable:acquired:lending:
1909-JAPANESE FINANCIAL FUTURES PLAN REVEALED|incorporate:quoted:money:global:dollar:
1910-EC, EURATOM FRENCH FRANC EUROBONDS EXPECTED|euratom:reuter:energy:community:atomic:
1911-AUSTRALIAN POLICE ARREST FORMER WESTPAC CLERK|comment:unrelated:quoted:yen:money:
1912-U.K. MONEY MARKET DEFICIT FORECAST AT 350 MLN STG|money:fx:interest:
1913-JAPAN LIKELY TO LET U.S. BANKS DEAL SECURITIES|criticism:reuter:september:brokerages:held:
1914-SAUDI RIYAL DEPOSIT RATES EASE|money:fx:saudriyal:
1915-CURRENCY SECTORS CONTINUE TO FEATURE EUROBOND TRADE|reuter:money:exchanges:manager:statements:
1916-FRENCH TREASURY DETAILS PLANNED TAP ISSUE|tap:december:minimum:thursday:tender:
1917-PEMEX SIGNS 500 MLN DLR JAPAN LOAN FOR PIPELINE|crude:
1918-SUPPLIES OF U.K. INDEX-LINKED BOND EXHAUSTED|england:exhausted:demand:number:trading:
1919-STC PLC <STCL.L> YEAR TO END-1986|earn:
1920-COMALCO SAYS LOWER COSTS HELPED RETURN TO PROFITS|earn:alum:
1921-CRA EXPECTS TO PAY FINAL DIVIDEND OF 10 CENTS|earn:
1922-MONTEDISON UNIT ISSUES 50 MLN AUSTRALIAN DLR BOND|eurobond:guaranteed:manager:luxembourg:spa:
1923-SWISS CAPITAL EXPORTS RISE IN JANUARY|trade:
1924-CHINA CALLS FOR BETTER TRADE DEAL WITH U.S.|trade:
1925-NO BUNDESBANK POLICY CHANGES EXPECTED THURSDAY|interest:money:fx:
1926-TAIWAN BANKS ASKED TO TAKE PART IN INDONESIA LOAN|receiving:facility:official:idea:produce:
1927-COUNCIL OF EUROPE ISSUES LUXEMBOURG FRANC BOND|month:manager:pct:council:maturing:
1928-ITALY CONSUMER PRICES RISE 0.4 PCT IN FEBRUARY|cpi:
1929-MOBIL PLAN TO OPEN PEKING OFFICE, CHINA DAILY SAYS|crude:
1930-EC ISSUES 600 MLN FRENCH FRANC EUROBOND|community:manager:luxembourg:fees:total:
1931-KLM TO TAKE 15 PCT STAKE IN AIR UK|acq:
1932-AIRBUS SIGNS ONE BILLION DLR JAPANESE CONTRACT|comment:engine:due:september:pnn:
1933-|grain:corn:emptySet
1934-FRENCH BOND COMMITTEE APPROVES THREE ISSUES|publics:manage:domestic:travaux:committee:
1935-DEGUSSA COMBINES PHARMACEUTICAL INTERESTS|disclose:september:consolidated:domestic:results:
1936-U.K. RESERVES SHOW UNDERLYING RISE IN FEBRUARY|reserves:
1937-COMALCO SAYS LOWER COSTS HELP RETURN TO PROFITS|earn:alum:
1938-ULTRAMAR SELLS U.K. MARKETING UNITS FOR 50 MLN STG|acq:
1939-HONG KONG M3 RISES 2.2 PCT IN JANUARY|money:supply:
1940-WOOLWORTH, UNDERWOODS FAIL TO AGREE ON BID|acq:
1941-NO BUNDESBANK POLICY CHANGES EXPECTED THURSDAY|interest:money:fx:
1942-U.K. MONEY MARKET SHORTAGE FORECAST REVISED UP|money:fx:interest:
1943-PAKISTAN TO RETENDER FOR RBD PALM OIL TOMORROW|veg:oil:palm:oil:
1944-MOBIL PLANS TO OPEN OFFICE IN PEKING|crude:
1945-MERRILL MANDATED FOR IEL U.S. NOTE.|industrial:issued:agreed:domestic:owned:
1946-EC, EURATOM FRENCH FRANC EUROBONDS EXPECTED|euratom:reuter:energy:community:atomic:
1947-AUSTRALIAN POLICE ARREST FORMER WESTPAC CLERK|money:currency:officials:wstp:kleinwort:
1948-Unilever Plc and Nv combined 1986 pre-tax profit 1.14 billion stg vs 953 mln. |earn:emptySet
1949-GERMAN BANKS SEEK GREATER BRAZIL LINK WITH IMF|negotiation:move:attitude:suspend:solutions:
1950-AQUINO ANNOUNCES LAND REFORM PLANS|devote:hectare:distribute:businesses:committee:
1951-OPEC WITHIN OUTPUT CEILING, SUBROTO SAYS|crude:
1952-U.K. MONEY MARKET GIVEN 24 MLN STG ASSISTANCE|money:fx:interest:
1953-COUPON ON MITSUBISHI WARRANT BOND CUT|adjusted:estate:coupon:warrants:share:
1954-JAPAN'S UNEMPLOYMENT RATE SEEN RISING TO 3.5 PCT|jobs:
1955-TAIWAN REJECTS TEXTILE MAKER PLEA ON EXCHANGE RATE|saturday:reuter:quoted:kong:currency:
1956-JAPANESE DEMAND FOR U.K. GILTS SEEN RISING|reuter:office:doubtful:including:rapidly:
1957-|earn:emptySet
1958-DAIMLER OUTPUT COULD BE AFFECTED BY DISPUTE|axles:reuter:withheld:foreseeable:daig:
1959-HK HOTELS SOARS ON TAKEOVER SPECULATION|acq:
1960-OERLIKON UNIT REJECTS DUTCH PATENT CHARGES|calmly:months:zurich:signaal:developed:
1961-CASSA DI RISPARMIO DI ROMA LAUNCHING CD PROGRAM|issued:agent:paper:london:dealer:
1962-BRYSON PAYS 5.4 MLN DLRS FOR CENERGY CORP STAKE|acq:
1963-REAGAN APPROVAL RATING FALLS TO FOUR-YEAR LOW|sales:cbs:president:scandal:reuter:
1964-REGAN DEPARTURE MAKES 3RD VOLCKER TERM LIKELY|reuter:shot:invited:reeling:increasingly:
1965-GM <GM> CUTS WAGE BOOSTS FOR SALARIED EMPLOYEES|disbursing:thje:motors:general:effectively:
1966-PRE-PAID LEGAL <PPD> GETS I.C.H. <ICH> FINANCING|reuter:proposed:request:expense:regulatory:
1967-ASHTON-TATE <TATE> 4TH QTR NET|earn:
1968-NEITHER SIDE OPTIMISTIC ON ROTTERDAM PORT ISSUES|ship:
1969-AMR <AMR> TO HOLD PRESS CONFERENCE THIS MORNING|comment:supply:general:times:subject:
1970-UNILEVER IMPROVES IN MOST SECTORS DURING 1986|earn:
1971-U.S. LEADING INDICATORS FELL 1.0 PCT IN JAN AFTER REVISED 2.3 PCT DEC RISE |lei:emptySet
1972-AMR CORP ORDERS 40 JETS FROM AIRBUS AND BOEING |emptySet
1973-U.S. LEADING INDEX FELL 1.0 PCT IN JANUARY|lei:
1974-BRAZIL FINANCE MINISTER MEETS FRENCH OFFICIALS|financial:meetings:mission:held:officials:
1975-BURLINGTON COAT FACTORY WAREHOUSE CORP <BCF> NET|earn:
1976-COFFEE PRICE FALL SHORT TERM - DUTCH ROASTERS|coffee:
1977-GREENWOOD RESOURCES <GRRL> SELLS COMPANY STAKE|acq:
1978-AMR <AMR> TO ACQUIRE 40 LONG-RANGE JET AIRCRAFT|scheduled:major:san:developed:explained:
1979-VDO UNIT AND THOMSON-CSF IN JOINT VENTURE|set:agreed:statment:held:gmbh:
1980-F.W. WOOLWORTH CO 4TH QTR SHR 1.78 DLRS VS 1.64 DLRS |earn:emptySet
1981-HEINZ INTERESTED IN BUYING GUINNESS BREWING|acq:
1982-EQUATORIAL COMMUNICATIONS <EQUA> TO HAVE LOSSES|earn:
1983-TRANSAMERICA <TA> TO HAVE AUSTRALIAN SALE GAIN|earn:
1984-VIACOM INTERNATIONAL INC GETS ANOTHER NEW NATIONAL AMUSEMENTS BID |acq:emptySet
1985-F.W. WOOLWORTH CO <Z> 4TH QTR JAN 31 NET|earn:
1986-GM <GM>  CUTTING SALARIED MERIT RAISES|motors:merit:general:reducing:workers:
1987-BP OIL RAISES OPERATING PROFIT|earn:crude:
1988-CANADA PRICES 1.2 BILLION DLR BOND ISSUE|issued:minimum:including:canada:delivered:
1989-EARTHQUAKES CONTINUE IN NORTHERN NEW ZEALAND|major:people:civil:minutes:midnight:
1990-U.S. ASKS JAPAN END AGRICULTURE IMPORT CONTROLS|trade:
1991-U.S. FINANCIAL ANALYSTS - March 3|management:reuter:sarich:associates:health:
1992-|emptySet
1993-|emptySet
1994-FIRSTCORP <FCR> SEES GAIN ON CONDEMNATION|earn:
1995-ASHTON-TATE <TATE> TO OFFER COMMON SHARES|working:offering:outstanding:technology:reuter:
1996-KEYCORP <KEY> REGISTERS SUBORDINATED NOTES|scheduled:boston:purposes:general:including:
1997-<NATIONAL SEA PRODUCTS LTD> 4TH QTR NET|earn:
